Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1	Ä§·¨ÊôÐÔË÷Òý2	Ä§·¨ÊôÐÔË÷Òý3	Ä§·¨ÊôÐÔË÷Òý4	Ä§·¨ÊôÐÔË÷Òý5	Ä§·¨ÊôÐÔË÷Òý6	ËùÔÚÌ××°	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2	¿ÉÈÛÁ¶ÊôÐÔÊýÁ¿	¿ÉÈÛÁ¶ÎÆ¸ÖÆ·ÖÊ
Kim ¤ TÞch LÞch Lý	0	5	1	\spr\item\equip\boots\obj-shoes24.spr	26	2	2	Bé trang bÞ §­êng M«n phi tiªu cÊp Kim ¤(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	2									1875	1814	1895	2117	2177	2214	212	153	8	2347	2662		
Kim ¤ TÞch LÞch Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist23.spr	34	1	2	Bé trang bÞ §­êng M«n phi tiªu cÊp Kim ¤(9)	1	99999	10	0																						36	120	39	2									1874	1794	1894	1937	2254	2214	212	153	9	2509	2194		
Kim ¤ TÞch LÞch H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring20.spr	37	1	1	Bé trang bÞ §­êng M«n phi tiªu cÊp Kim ¤(10)	3	99999	10	0																						36	120	39	2									1874	1834	1894	2137	2254	2214	212	153	10	130			
Kim ¤ ThiÕt Cèt H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck25.spr	36	2	1	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Kim ¤(1)	1	99999	10	0																						36	120	39	6									1874	1774	1895	1937	1917	2214	213	154	1	2511	2194		
Kim ¤ ThiÕt Cèt §Çu Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap25.spr	28	2	2	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Kim ¤(2)	3	99999	10	0	30	360	360	31	85	85																36	120	39	6									1875	1814	1894	2117	2254	2214	213	154	2	2347	2194		
Kim ¤ ThiÕt Cèt Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring23.spr	37	1	1	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Kim ¤(3)	4	99999	10	0																						36	120	39	6									1874	1794	1895	1937	2254	2214	213	154	3	130			
Kim ¤ ThiÕt Cèt Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle25.spr	34	1	2	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Kim ¤(4)	0	99999	10	0	30	135	135	31	80	80																36	120	39	6									1875	1834	1894	2137	2254	2214	213	154	4	2347	2194		
Kim ¤ ThiÕt Cèt Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash25.spr	32	2	1	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Kim ¤(5)	2	99999	10	0	30	160	160	31	80	80																36	120	39	6									1875	1854	1895	2097	2254	2214	213	154	5	2512	2194		
Kim ¤ ThiÕt Cèt C¸i Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth25.spr	22	2	3	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Kim ¤(6)	1	99999	10	0	30	720	720	31	90	90																36	120	39	6									1875	1774	1895	1937	2155	2214	213	154	6	2347	2194		
Kim ¤ ThiÕt Cèt TriÒn Thñ	0	0	6	\spr\item\equip\closeweapon\obj-glove04.spr	9	1	2	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Kim ¤(7)	3	99999	10	0	28	40	40	29	100	100	167	-30	-30	31	99	99										36	120	39	6									2277	1814	2057	2117	2254	2214	213	154	7	2347	130		
Kim ¤ ThiÕt Cèt Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes25.spr	26	2	2	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Kim ¤(8)	4	99999	10	0	30	160	160	31	80	80																36	120	39	6									1875	1794	1895	1937	2177	2214	213	154	8	2513	2194		
Kim ¤ ThiÕt Cèt Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist26.spr	36	1	2	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Kim ¤(9)	0	99999	10	0																						36	120	39	6									1874	1834	1894	2137	2254	2214	213	154	9	2347	2663		
Kim ¤ ThiÕt Cèt H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring24.spr	37	1	1	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Kim ¤(10)	2	99999	10	0																						36	120	39	6									1874	1854	1894	2097	2254	2214	213	154	10	130			
Kim ¤ Long HuyÕt H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck25.spr	36	2	1	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Kim ¤(1)	0	99999	10	0																						36	120	39	6									1874	1774	1895	1937	1917	2214	214	155	1	2515	2194		
Kim ¤ Long HuyÕt §Çu Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap25.spr	28	2	2	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Kim ¤(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	6									1875	1814	1894	2117	2254	2214	214	155	2	2347	2194		
Kim ¤ Long HuyÕt Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring23.spr	37	1	1	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Kim ¤(3)	1	99999	10	0																						36	120	39	6									1874	1794	1895	1937	2254	2214	214	155	3	130			
Kim ¤ Long HuyÕt Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle25.spr	34	1	2	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Kim ¤(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	6									1875	1834	1894	2137	2254	2214	214	155	4	2516	2194		
Kim ¤ Long HuyÕt Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash25.spr	33	2	1	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Kim ¤(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	6									1875	1854	1895	2097	2254	2214	214	155	5	2347	2664		
Kim ¤ Long HuyÕt C¸i Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth25.spr	22	2	3	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Kim ¤(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	6									1875	1774	1895	1937	2155	2214	214	155	6	2347	2194		
Kim ¤ Long HuyÕt Tr­îng	0	0	2	\spr\item\equip\closeweapon\obj-staff15.spr	11	1	4	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Kim ¤(7)	2	99999	10	0	28	69	69	29	128	128	167	-30	-30	31	99	99										36	120	39	6									2271	1814	1997	2117	2239	2214	214	155	7	2347	130		
Kim ¤ Long HuyÕt Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes25.spr	26	2	2	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Kim ¤(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	6									1875	1794	1895	1937	2177	2214	214	155	8	2347	2194		
Kim ¤ Long HuyÕt Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist26.spr	36	1	2	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Kim ¤(9)	3	99999	10	0																						36	120	39	6									1874	1834	1894	2137	2254	2214	214	155	9	2517	2194		
Kim ¤ Long HuyÕt H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring24.spr	37	1	1	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Kim ¤(10)	4	99999	10	0																						36	120	39	6									1874	1854	1894	2097	2254	2214	214	155	10	130			
Kim ¤ D¹ng Phong H¹ng Khuyªn	0	4	1	\spr\item\equip\nick\obj-neck22.spr	36	2	1	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Kim ¤(1)	0	99999	10	0																						36	120	39	7									1874	1774	1895	1937	1917	2214	215	156	1	2519	2194		
Kim ¤ D¹ng Phong Kh«i	0	7	2	\spr\item\equip\cap\obj-ma-cap26.spr	28	2	2	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Kim ¤(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	7									1875	1814	1894	2117	2254	2214	215	156	2	2347	2194		
Kim ¤ D¹ng Phong Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring17.spr	37	1	1	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Kim ¤(3)	1	99999	10	0																						36	120	39	7									1874	1794	1895	1937	2254	2214	215	156	3	130			
Kim ¤ D¹ng Phong Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle26.spr	34	1	2	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Kim ¤(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	7									1875	1834	1894	2137	2254	2214	215	156	4	2520	2194		
Kim ¤ D¹ng Phong Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash26.spr	33	2	1	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Kim ¤(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	7									1875	1854	1895	2097	2254	2214	215	156	5	2347	2665		
Kim ¤ D¹ng Phong Gi¸p Y	0	2	2	\spr\item\equip\armor\obj-ma-cloth26.spr	23	2	3	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Kim ¤(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	7									1875	1774	1895	1937	2155	2214	215	156	6	2347	2194		
Kim ¤ D¹ng Phong Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear05.spr	12	1	4	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Kim ¤(7)	2	99999	10	0	28	18	18	29	158	158	167	-30	-30	31	99	99										36	120	39	7									2272	1814	1997	2117	2239	2214	215	156	7	2347	130		
Kim ¤ D¹ng Phong Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes26.spr	26	2	2	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Kim ¤(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	7									1875	1794	1895	1937	2177	2214	215	156	8	2347	2194		
Kim ¤ D¹ng Phong Béi	0	9	1	\spr\item\equip\waist\obj-waist22.spr	36	1	2	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Kim ¤(9)	3	99999	10	0																						36	120	39	7									1874	1834	1894	2137	2254	2214	215	156	9	2521	2194		
Kim ¤ D¹ng Phong H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring18.spr	37	1	1	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Kim ¤(10)	4	99999	10	0																						36	120	39	7									1874	1854	1894	2097	2254	2214	215	156	10	130			
Kim ¤ ¸nh HuyÕt H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck22.spr	36	2	1	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Kim ¤(1)	1	99999	10	0																						36	120	39	7									1874	1774	1895	1937	1917	2214	216	157	1	2523	2194		
Kim ¤ ¸nh HuyÕt Qu¸n MiÖn	0	7	2	\spr\item\equip\cap\obj-ma-cap26.spr	28	2	2	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Kim ¤(2)	3	99999	10	0	30	360	360	31	85	85																36	120	39	7									1875	1814	1894	2117	2254	2214	216	157	2	2347	2666		
Kim ¤ ¸nh HuyÕt Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring17.spr	37	1	1	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Kim ¤(3)	4	99999	10	0																						36	120	39	7									1874	1794	1895	1937	2254	2214	216	157	3	130			
Kim ¤ ¸nh HuyÕt Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle26.spr	34	1	2	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Kim ¤(4)	0	99999	10	0	30	135	135	31	80	80																36	120	39	7									1875	1834	1894	2137	2254	2214	216	157	4	2524	2194		
Kim ¤ ¸nh HuyÕt Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash26.spr	33	2	1	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Kim ¤(5)	2	99999	10	0	30	160	160	31	80	80																36	120	39	7									1875	1854	1895	2097	2254	2214	216	157	5	2347	2194		
Kim ¤ ¸nh HuyÕt Gi¸p	0	2	2	\spr\item\equip\armor\obj-ma-cloth26.spr	23	2	3	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Kim ¤(6)	1	99999	10	0	30	720	720	31	90	90																36	120	39	7									1875	1774	1895	1937	2155	2214	216	157	6	2347	2194		
Kim ¤ ¸nh HuyÕt §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade26.spr	10	1	3	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Kim ¤(7)	3	99999	10	0	28	40	40	29	100	100	167	-30	-30	31	99	99										36	120	39	7									2276	1814	2057	2117	2254	2214	216	157	7	2347	130		
Kim ¤ ¸nh HuyÕt Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes26.spr	26	2	2	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Kim ¤(8)	4	99999	10	0	30	160	160	31	80	80																36	120	39	7									1875	1794	1895	1937	2177	2214	216	157	8	2347	2194		
Kim ¤ ¸nh HuyÕt Béi	0	9	1	\spr\item\equip\waist\obj-waist22.spr	34	1	2	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Kim ¤(9)	0	99999	10	0																						36	120	39	7									1874	1834	1894	2137	2254	2214	216	157	9	2525	2194		
Kim ¤ ¸nh HuyÕt H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring18.spr	37	1	1	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Kim ¤(10)	2	99999	10	0																						36	120	39	7									1874	1854	1894	2097	2254	2214	216	157	10	130			
Kim ¤ Lôc Hîp Phï	0	4	1	\spr\item\equip\nick\obj-neck25.spr	36	2	1	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Kim ¤(1)	3	99999	10	0																						36	120	39	8									1874	1774	1895	2137	1917	2214	217	158	1	2527	2194		
Kim ¤ Lôc Hîp Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap27.spr	28	2	2	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Kim ¤(2)	4	99999	10	0	30	360	360	31	85	85																36	120	39	8									1875	1814	1894	2097	2254	2214	217	158	2	2347	2194		
Kim ¤ Lôc Hîp Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring23.spr	37	1	1	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Kim ¤(3)	0	99999	10	0																						36	120	39	8									1874	1794	1895	1937	2254	2214	217	158	3	130			
Kim ¤ Lôc Hîp Tô	0	8	1	\Spr\item\equip\bangle\obj-bangle27.spr	34	1	2	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Kim ¤(4)	2	99999	10	0	30	135	135	31	80	80																36	120	39	8									1875	1834	1894	2117	2254	2214	217	158	4	2347	2194		
Kim ¤ Lôc Hîp Ph¸p §¸i	0	6	1	\spr\item\equip\sash\obj-sash27.spr	33	2	1	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Kim ¤(5)	1	99999	10	0	30	160	160	31	80	80																36	120	39	8									1875	1854	1895	1937	2254	2214	217	158	5	2528	2194		
Kim ¤ Lôc Hîp §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth27.spr	24	2	3	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Kim ¤(6)	3	99999	10	0	30	720	720	31	90	90																36	120	39	8									1875	1774	1895	2137	2155	2214	217	158	6	2347	2194		
Kim ¤ Lôc Hîp KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword25.spr	9	1	3	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Kim ¤(7)	4	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	120	39	8									2276	1814	2077	2097	2254	2214	217	158	7	2347	130		
Kim ¤ Lôc Hîp Lý	0	5	0	\spr\item\equip\boots\obj-shoes27.spr	26	2	2	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Kim ¤(8)	0	99999	10	0	30	160	160	31	80	80																36	120	39	8									1875	1794	1895	1937	2177	2214	217	158	8	2529	2194		
Kim ¤ Lôc Hîp Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist26.spr	36	1	2	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Kim ¤(9)	2	99999	10	0																						36	120	39	8									1874	1834	1894	2117	2254	2214	217	158	9	2347	2667		
Kim ¤ Lôc Hîp H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring24.spr	37	1	1	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Kim ¤(10)	1	99999	10	0																						36	120	39	8									1874	1854	1894	1937	2254	2214	217	158	10	130			
Kim ¤ Th¸i Hßa Phï	0	4	1	\spr\item\equip\nick\obj-neck25.spr	36	2	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Kim ¤(1)	0	99999	10	0																						36	120	39	8									1874	1774	1895	2137	1917	2214	218	159	1	2531	2194		
Kim ¤ Th¸i Hßa Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap27.spr	28	2	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Kim ¤(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	8									1875	1814	1894	2097	2254	2214	218	159	2	2347	2194		
Kim ¤ Th¸i Hßa Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring23.spr	37	1	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Kim ¤(3)	1	99999	10	0																						36	120	39	8									1874	1794	1895	1937	2254	2214	218	159	3	130			
Kim ¤ Th¸i Hßa Tô	0	8	1	\Spr\item\equip\bangle\obj-bangle27.spr	34	1	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Kim ¤(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	8									1875	1834	1894	2117	2254	2214	218	159	4	2347	2668		
Kim ¤ Th¸i Hßa Ph¸p §¸i	0	6	0	\spr\item\equip\sash\obj-sash27.spr	32	2	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Kim ¤(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	8									1875	1854	1895	1937	2254	2214	218	159	5	2532	2194		
Kim ¤ Th¸i Hßa §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth27.spr	24	2	3	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Kim ¤(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	8									1875	1774	1895	2137	2155	2214	218	159	6	2347	2194		
Kim ¤ Th¸i Hßa KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword25.spr	9	1	3	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Kim ¤(7)	2	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	120	39	8									2271	1814	1997	2097	2239	2214	218	159	7	2347	130		
Kim ¤ Th¸i Hßa Lý	0	5	0	\spr\item\equip\boots\obj-shoes27.spr	26	2	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Kim ¤(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	8									1875	1794	1895	1937	2177	2214	218	159	8	2347	2194		
Kim ¤ Th¸i Hßa Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist26.spr	36	1	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Kim ¤(9)	3	99999	10	0																						36	120	39	8									1874	1834	1894	2117	2254	2214	218	159	9	2533	2194		
Kim ¤ Th¸i Hßa H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring24.spr	37	1	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Kim ¤(10)	4	99999	10	0																						36	120	39	8									1874	1854	1894	1937	2254	2214	218	159	10	130			
Kim ¤ NguyÖt ¶nh H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck25.spr	36	2	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Kim ¤(1)	0	99999	10	0																						36	120	39	9									1874	1774	1895	1937	1917	2214	219	160	1	2535	2194		
Kim ¤ NguyÖt ¶nh §¹o Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap27.spr	28	2	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Kim ¤(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	9									1875	1814	1894	2117	2254	2214	219	160	2	2347	2194		
Kim ¤ NguyÖt ¶nh Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring23.spr	37	1	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Kim ¤(3)	1	99999	10	0																						36	120	39	9									1874	1794	1895	1937	2254	2214	219	160	3	130			
Kim ¤ NguyÖt ¶nh Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle27.spr	34	1	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Kim ¤(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	9									1875	1834	1894	2137	2254	2214	219	160	4	2347	2669		
Kim ¤ NguyÖt ¶nh Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash27.spr	33	2	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Kim ¤(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	9									1875	1854	1895	2097	2254	2214	219	160	5	2536	2194		
Kim ¤ NguyÖt ¶nh §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth27.spr	24	2	3	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Kim ¤(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	9									1875	1774	1895	1937	2155	2214	219	160	6	2347	2194		
Kim ¤ NguyÖt ¶nh B¶o §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Kim ¤(7)	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	120	39	9									2272	1814	1997	2117	2239	2214	219	160	7	2347	130		
Kim ¤ NguyÖt ¶nh Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes27.spr	26	2	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Kim ¤(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	9									1875	1794	1895	1937	2177	2214	219	160	8	2347	2194		
Kim ¤ NguyÖt ¶nh Béi	0	9	1	\spr\item\equip\waist\obj-waist26.spr	36	1	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Kim ¤(9)	3	99999	10	0																						36	120	39	9									1874	1834	1894	2137	2254	2214	219	160	9	2537	2194		
Kim ¤ NguyÖt ¶nh H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring24.spr	37	1	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Kim ¤(10)	4	99999	10	0																						36	120	39	9									1874	1854	1894	2097	2254	2214	219	160	10	130			
Kim ¤ T­êng V©n Phï	0	4	1	\spr\item\equip\nick\obj-neck25.spr	36	2	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Kim ¤(1)	3	99999	10	0																						36	120	39	9									1874	1774	1895	1937	1917	2214	220	161	1	2539	2194		
Kim ¤ T­êng V©n §¹o Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap27.spr	28	2	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Kim ¤(2)	4	99999	10	0	30	360	360	31	85	85																36	120	39	9									1875	1814	1894	2117	2254	2214	220	161	2	2347	2194		
Kim ¤ T­êng V©n Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring23.spr	37	1	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Kim ¤(3)	0	99999	10	0																						36	120	39	9									1874	1794	1895	1937	2254	2214	220	161	3	130			
Kim ¤ T­êng V©n Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle27.spr	34	1	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Kim ¤(4)	2	99999	10	0	30	135	135	31	80	80																36	120	39	9									1875	1834	1894	2137	2254	2214	220	161	4	2347	2670		
Kim ¤ T­êng V©n TriÒn Yªu	0	6	0	\spr\item\equip\sash\obj-sash27.spr	32	2	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Kim ¤(5)	1	99999	10	0	30	160	160	31	80	80																36	120	39	9									1875	1854	1895	2097	2254	2214	220	161	5	2540	2194		
Kim ¤ T­êng V©n §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth27.spr	24	2	3	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Kim ¤(6)	3	99999	10	0	30	720	720	31	90	90																36	120	39	9									1875	1774	1895	1937	2155	2214	220	161	6	2347	2194		
Kim ¤ T­êng V©n B¶o KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword26.spr	9	1	3	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Kim ¤(7)	4	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	120	39	9									2277	1814	2077	2117	2254	2214	220	161	7	2347	130		
Kim ¤ T­êng V©n Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes27.spr	26	2	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Kim ¤(8)	0	99999	10	0	30	160	160	31	80	80																36	120	39	9									1875	1794	1895	1937	2177	2214	220	161	8	2347	2194		
